ParkName,Rank,Value,PercentOfTotal
Martin Van Buren NHS,337,"20,623",0.01%
Fossil Butte NM,338,"20,554",0.01%
Keweenaw NHP,339,"20,535",0.01%
Saint Paul's Church NHS,340,"18,537",0.01%
Noatak NPRES,341,"17,216",0.01%
Lake Clark NP & PRES,342,"17,157",0.01%
Agate Fossil Beds NM,343,"16,657",0.01%
Russell Cave NM,344,"16,642",0.01%
Cesar E. Chavez NM,345,"16,490",0.01%
Cape Krusenstern NM,346,"16,226",0.00%
Kobuk Valley NP,347,"15,766",0.00%
Edgar Allan Poe NHS,348,"15,527",0.00%
Charles Young Buffalo Soldiers NM,349,"14,106",0.00%
Minidoka NHS,350,"13,647",0.00%
Fort Union Trading Post NHS,351,"12,967",0.00%
Saint Croix Island IHS,352,"11,613",0.00%
Fort Union NM,353,"11,063",0.00%
First Ladies NHS,354,"10,913",0.00%
Gates of the Arctic NP & PRES,355,"10,518",0.00%
Knife River Indian Villages NHS,356,"10,354",0.00%
Belmont-Paul Women's Equality NM,357,"9,913",0.00%
Maggie L. Walker NHS,358,"9,602",0.00%
Washita Battlefield NHS,359,"9,119",0.00%
Alibates Flint Quarries NM,360,"8,847",0.00%
President W.J. Clinton Birthplace Home NHS,361,"8,758",0.00%
Saugus Iron Works NHS,362,"8,150",0.00%
Thomas Stone NHS,363,"8,020",0.00%
Frederick Law Olmsted NHS,364,"7,791",0.00%
Fort Bowie NHS,365,"7,577",0.00%
Sand Creek Massacre NHS,366,"5,701",0.00%
Salt River Bay NHP & Ecological Pres,367,"5,215",0.00%
Clara Barton NHS,368,"4,100",0.00%
Mary McLeod Bethune Council House NHS,369,"3,788",0.00%
Nicodemus NHS,370,"3,540",0.00%
Eugene O'Neill NHS,371,"2,944",0.00%
Bering Land Bridge NPRES,372,"2,642",0.00%
Carter G. Woodson Home NHS,373,"2,381",0.00%
Thaddeus Kosciuszko NMEM,374,"1,921",0.00%
Yukon-Charley Rivers NPRES,375,"1,114",0.00%
Port Chicago Naval Magazine NMEM,376,830,0.00%
Rio Grande W&SR,377,324,0.00%
Aniakchak NM & PRES,378,100,0.00%
